full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"    1P/Halley",0.967142908462304,0.585978111516909,162.262690579161,58.42008097656843,111.3324851045177,35.08231047359043,19860205.8953171,75.3158906863411,HTC,57852,,7428,,2.696463929511566E-10,1.554613388970244E-10,,,5.5,8.0,13.6,5.0,0.03,11.0,14.9x8.2,0.04,,
"    2P/Encke",.8482914489193686,.3360495809189007,11.78085784313012,334.5688473918647,186.5415883663751,4.094150015942242,20131121.7188408,3.29684210923317,ETc,2758,0,2336,,-1.513712701044976E-11,-1.795105965551957E-12,,,14.1,7.,,,,4.8,,0.046,11.083,
"    3D/Biela",0.751299,0.879073,13.2164,250.669,221.6588,6.190243166802708,18321126.6152000,6.64552531740703,JFc,,,26,,0.39E-8,-0.0254E-8,,,7.1,10.0,,,,,,,,
"    4P/Faye",.5696175496849397,1.651876343070432,9.070294510274881,199.143982411512,205.1258177176394,6.024441972702809,20140529.8687186,7.51956420594534,JFc,6226,0,4460,,3.827616356938363E-9,6.623304467699322E-10,-1.612481419404149E-9,-112.8808026867707,10.9,10.,13.3,5.,0.03,3.54,,,,
"    5D/Brorsen",0.809796,0.589847,29.3821,102.9676,14.9468,5.612409524573614,18790331.0341000,5.46119640576126,JFc,,,127,,1.27E-8,0.1343E-8,,,8.3,10.0,,,,,,,,
"    6P/d''Arrest",.6114219228700193,1.361454546530219,19.48168162749337,138.9337127711251,178.1152293178701,5.645912192148699,20150302.4186997,6.55836343821244,JFc,10516,1,2194,,3.394187790901383E-9,-8.903327666485144E-11,-6.286843222727497E-10,108.8992717554588,14.8,8.,,,,3.2,,,,
"    7P/Pons-Winnecke",.6376170100495518,1.238961437354184,22.3350880629029,93.40960341550313,172.5000552680682,5.598895038876106,20150130.5302227,6.32183534284138,JFc,34529,0,602,,7.466052794657693E-11,-1.181757597080922E-11,-1.351544966370579E-10,148.9705993829392,13.0,13.,16.3,5.,0.03,5.2,,,,
"    8P/Tuttle",0.8197997470243816309221,1.0271165870984511059305,54.983184844602092766763,270.3416520050764,207.5092459727414,10.3726075546587,20080127.0255506,13.6083265414944,JFC,15126,0,1555,,6.894844426325457E-10,1.370445739396238E-10,-4.593469638447816E-10,,9.8,21.,16.7,5.,0.03,4.5,,,,
"    9P/Tempel 1",.5174956818246673,1.506600029050239,10.53048736275057,68.93337802800315,178.8770957409569,4.738318295194768,20050705.3688317,5.51763989127478,JFc,5156,0,10516,,2.229255205150244E-10,9.789616983558274E-12,1.881144740487781E-10,,13.1,8.0,,,,6.0,7.6x4.9,0.05,40.7,
"   10P/Tempel 2",.5363206018170796,1.422250392569244,12.02245170360152,117.8092352683338,195.6367478581073,4.712377965485042,20100704.8608553,5.37211864407627,JFc,5104,0,3376,,2.083460885281401E-10,9.330357737269815E-12,1.49404935652902E-10,,11.2,12.,14.9,5.,0.03,10.6,,0.022,8.93,
"   11P/Tempel-Swift-LINEAR",.5462361578422221,1.548482894668929,13.57343332560592,240.4024285639321,164.1149688874212,5.276577856339554,20140826.9847215,6.30409850979341,JFc,4919,0,97,,,,,,15.,10.0,17.5,5.0,0.03,,,,,
"   12P/Pons-Brooks",0.9548123941619716115170,0.7736670872976132429243,74.176894232522556649200,255.8911443583019,199.028468565403,33.4687793955174,19540522.8808502,70.8451929225654,HTC,51861,,278,,-1.021678908475834E-9,-2.705135237076094E-10,,,5.,15.0,11.,10.0,,,,,,
"   13P/Olbers",0.930297147462082,1.17845061442612,44.609885733805,86.10312835462277,64.64120651677283,32.63510425508353,19560619.1353310,69.5183499778236,HTC,51679,,91,,9.451067991051224E-9,6.487207540562958E-10,,,5.,15.0,11.5,10.0,,,,,,
"   14P/Wolf",.3556303365465381,2.740858982001619,27.91357731471586,202.1306141024764,159.1621223444681,5.766242259581183,20171202.6588626,8.77274711988889,JFc,3956,1,135,,,,,,12.7,11.,15.9,5.,0.03,4.66,,,,
"   15P/Finlay",.7204670323736734,.9746503145016036,6.803655945058429,13.80063967391148,347.5656143942961,5.998769119906535,20141226.9345877,6.51076305456347,JFc,2841,0,1136,,7.829547989193548E-10,2.826333351821679E-10,1.81216348966542E-9,,10.3,19.,15.1,5.,0.03,,,,,
"   16P/Brooks 2",.5632234095202744,1.466792470259358,4.261187225367249,159.2804324225749,219.7488417157946,5.249650224841738,20140607.7433622,6.15420812539407,JFc,30105,0,403,,3.668540211233309E-9,-1.49777963572744E-9,,,12.6,12.,15.6,5.,0.03,,,,,
"   17P/Holmes",.4328758383063912,2.05337898782295,19.11426464401879,326.8532150891524,24.35185259322855,5.187994688413742,20070505.0284264,6.88961013745291,JFc,3196,0,5036,,2.485104967268744E-9,2.671949794945759E-9,8.081603486442451E-10,,11.4,8.,,,,3.42,,,,
