major,percent
Computer science or software engineering,50.0
Computer engineering or electrical/electronics engineering,10.2
Computer programming or Web development,9.1
Information technology, networking, or system administration,5.0
A natural science,4.4
A non-computer-focused engineering discipline,4.2
Mathematics or statistics,3.8
Something else,2.5
A humanities discipline,2.1
A business discipline,2.1
Management information systems,1.5
Fine arts or performing arts,1.5
A social science,1.5
I never declared a major,1.4
Psychology,0.5
A health science,0.3
